gridindex,forest_ha,land_ha,disturbance_ha
343,3226.23,12470.85,80.55
344,5969.88,12470.67,142.92
345,4046.31,12470.76,139.68
346,3984.2999999999997,12470.67,152.19
347,3947.85,12470.76,151.82999999999998
348,6062.8499999999995,12470.67,284.31
349,2003.04,12470.76,18
350,5362.47,12470.85,81.63
351,3000.33,12470.85,72
352,5444.73,12470.85,69.12
353,4174.47,12470.76,165.23999999999998
354,3369.33,12470.85,379.16999999999996
355,5449.41,12470.85,252.63
356,8312.85,12470.76,40.86
357,3445.92,12470.67,30.959999999999997
358,4788.36,12470.85,100.17
359,3947.67,12470.85,85.67999999999999
360,0,12470.85,NA
361,4351.139999999999,12470.76,164.25
362,5003.19,12470.85,215.19
363,4816.889999999999,12470.76,192.69
364,5258.429999999999,12470.85,267.93
365,6050.25,12470.85,223.38
366,4747.32,12470.76,229.41
367,5168.34,12470.67,120.24
368,1008.99,12470.67,8.01
369,4186.3499999999995,12470.85,150.39
370,3551.67,12470.58,32.58
371,4502.7,12470.76,163.71
372,3618.81,12470.76,217.70999999999998
373,6537.509999999999,12470.67,202.32
374,5130.45,12470.85,19.98
375,5304.0599999999995,12470.67,58.589999999999996
376,3251.16,12470.76,88.83
377,3446.5499999999997,9275.4,71.82
378,0,6134.4,NA
379,0,12470.85,NA
380,5077.62,12470.67,91.35
381,4852.8,12470.76,145.71
382,3393.81,12470.67,230.67
383,6409.3499999999995,12470.76,295.02
384,5974.29,12470.67,359.09999999999997
385,2494.7999999999997,12470.76,43.739999999999995
386,4391.01,12470.85,144.98999999999998
387,2736.18,12470.85,37.89
388,4281.389999999999,12470.85,87.21
389,4509.09,12470.76,63.089999999999996
390,4754.07,12470.85,162.45
391,5231.07,12470.85,69.39
392,6377.13,12470.76,37.44
393,7372.17,12470.67,189
394,4953.24,12470.85,146.7
395,5532.66,12470.85,111.50999999999999
396,0,12470.85,NA
397,3355.3799999999997,12470.76,51.66
398,5921.73,12470.85,278.28
399,3270.96,12470.76,153.98999999999998
400,2635.38,12470.85,99.81
401,7293.15,12470.85,341.01
402,7615.71,12470.76,422.55
403,3429.6299999999997,12470.67,54.449999999999996
404,4030.02,12470.67,72.81
405,3346.56,12470.85,19.08
406,4876.92,12470.58,85.5
407,4312.3499999999995,12470.76,78.48
408,5282.82,12470.76,74.07
409,4370.8499999999995,12470.67,115.74
410,5631.75,12470.85,48.33
411,5198.58,12470.67,157.76999999999998
412,4540.7699999999995,12470.76,178.56
413,5356.8,9275.4,131.57999999999998
414,0,6134.4,NA
415,1.17,12470.85,NA
416,4804.65,12470.67,128.51999999999998
417,6408,12470.76,197.1
418,4083.75,12470.67,234.45
419,1712.8799999999999,12470.76,33.48
420,5620.86,12470.67,341.82
421,3191.31,12470.76,81.81
422,5220.2699999999995,12470.85,462.41999999999996
423,6469.469999999999,12470.85,136.89
424,4551.21,12470.85,73.44
425,4627.62,12470.76,90.27
426,3677.94,12470.85,73.61999999999999
427,4550.22,12470.85,94.67999999999999
428,3943.62,12470.76,36.629999999999995
429,4825.62,12470.67,79.02
430,6312.78,12470.85,142.10999999999999
431,5556.15,12470.85,197.45999999999998
432,0,12470.85,NA
433,6672.0599999999995,12470.76,65.07
434,5189.67,12470.85,105.57
