ID,falsto_name,globalid,year
335,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2020
336,Gramschatzer_Wald_2,C93843BE-AD20-4A88-849C-8D4F749B716E,2021
337,Heidenheim_1,C20AF3FC-8E02-47FD-B3A3-2673C09CD568,2015
338,Heidenheim_1,C20AF3FC-8E02-47FD-B3A3-2673C09CD568,2016
339,Heidenheim_1,C20AF3FC-8E02-47FD-B3A3-2673C09CD568,2017
340,Heidenheim_1,C20AF3FC-8E02-47FD-B3A3-2673C09CD568,2018
341,Heidenheim_1,187E6EEC-C8BD-46DE-9922-F0552EFD2DAE,2019
342,Heidenheim_1,FA18BC39-0D82-45B4-AC11-5D37470E0BDB,2020
343,Heidenheim_1,FA18BC39-0D82-45B4-AC11-5D37470E0BDB,2021
344,Heidenheim_2,9E4C37AF-2F20-4005-A55B-4C83DAA9D266,2015
345,Heidenheim_2,9E4C37AF-2F20-4005-A55B-4C83DAA9D266,2016
346,Heidenheim_2,9E4C37AF-2F20-4005-A55B-4C83DAA9D266,2017
347,Heidenheim_2,9E4C37AF-2F20-4005-A55B-4C83DAA9D266,2018
348,Heidenheim_2,74E3A002-8D9A-4123-9D20-29625B50392F,2019
349,Heidenheim_2,D64A9360-CCC8-40AA-992C-0C085C8A907C,2020
350,Heidenheim_2,D64A9360-CCC8-40AA-992C-0C085C8A907C,2021
351,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2015
352,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2016
353,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2017
354,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2018
355,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2019
356,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2020
357,Heinrichsthaler_Forst_1,9DDA78A2-3B6B-48E8-BFB0-F34C3019F9FF,2021
358,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2015
359,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2016
360,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2017
361,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2018
362,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2019
363,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2020
364,Heinrichsthaler_Forst_2,544A3F9D-CA4D-4F42-BFF7-BCD7C33847C1,2021
365,Hemau_1,1A2AFFD6-2FE4-401D-BE45-2011F98317E3,2015
366,Hemau_1,1A2AFFD6-2FE4-401D-BE45-2011F98317E3,2016
367,Hemau_1,1A2AFFD6-2FE4-401D-BE45-2011F98317E3,2017
368,Hemau_1,1A2AFFD6-2FE4-401D-BE45-2011F98317E3,2018
369,Hemau_1,0B3A9605-9183-4B9B-9BFF-C19EE622409C,2019
370,Hemau_1,FE1F587A-EBB8-4C2F-960A-E2616104F40B,2020
371,Hemau_1,FE1F587A-EBB8-4C2F-960A-E2616104F40B,2021
372,Hemau_2,64B35022-D325-40FF-894F-77F565ADA5F4,2015
373,Hemau_2,64B35022-D325-40FF-894F-77F565ADA5F4,2016
374,Hemau_2,64B35022-D325-40FF-894F-77F565ADA5F4,2017
375,Hemau_2,64B35022-D325-40FF-894F-77F565ADA5F4,2018
376,Hemau_2,64B35022-D325-40FF-894F-77F565ADA5F4,2019
377,Hemau_2,D1E33462-2EAF-4B17-8E78-5DFAE1612C9D,2020
378,Hemau_2,D1E33462-2EAF-4B17-8E78-5DFAE1612C9D,2021
379,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2015
